Song,Uri,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
In the End,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143
Mr. Brightside,003vvx7Niy0yvhvHt4a68B,The Killers,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033
Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,Bon Jovi,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511
Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,AC/DC,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,Eagles,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,System Of A Down,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066
Africa,2374M0fQpWi3dLnB54qaLX,TOTO,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,Guns N' Roses,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303
I Love Rock 'N Roll,2Cdvbe2G4hZsnhNMKyGrie,Joan Jett & the Blackhearts,0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379
Numb,2nLtzopw4rPReszdYBJU6h,Linkin Park,0.496,0.863,9,-4.153,1,0.0381,0.0046,0.0,0.639,0.243,110.018
Thunderstruck,57bgtoPSgt236HzfBOd8kj,AC/DC,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
Californication,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483
Bring Me To Life,0COqiPhxzoWICwFCS4eZcp,Evanescence,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612
No Roots,6gqW48WKOxrBEG2KfShI8W,Alice Merton,0.863,0.657,7,-7.295,1,0.105,0.264,0.00619,0.0713,0.829,115.958
Zombie,7EZC6E7UjZe63f1jRmkWxt,The Cranberries,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915
