Song,Uri,Artist,Audio_features
Take Me To Church,7dS5EaCoMnN7DzlpT6aRn2,Hozier,"[{'danceability': 0.566, 'energy': 0.664, 'key': 4, 'loudness': -5.303, 'mode': 0, 'speechiness': 0.0464, 'acousticness': 0.634, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.437, 'tempo': 128.945, 'type': 'audio_features', 'id': '7dS5EaCoMnN7DzlpT6aRn2', 'uri': 'spotify:track:7dS5EaCoMnN7DzlpT6aRn2', 'track_href': 'https://api.spotify.com/v1/tracks/7dS5EaCoMnN7DzlpT6aRn2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7dS5EaCoMnN7DzlpT6aRn2', 'duration_ms': 241688, 'time_signature': 4}]"
Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,Mike Posner,"[{'danceability': 0.768, 'energy': 0.82, 'key': 7, 'loudness': -4.63, 'mode': 0, 'speechiness': 0.0474, 'acousticness': 0.179, 'instrumentalness': 0, 'liveness': 0.689, 'valence': 0.625, 'tempo': 129.965, 'type': 'audio_features', 'id': '2V4bv1fNWfTcyRJKmej6Sj', 'uri': 'spotify:track:2V4bv1fNWfTcyRJKmej6Sj', 'track_href': 'https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj', 'duration_ms': 213293, 'time_signature': 4}]"
See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator","[{'danceability': 0.558, 'energy': 0.559, 'key': 6, 'loudness': -9.222, 'mode': 1, 'speechiness': 0.0959, 'acousticness': 0.371, 'instrumentalness': 7.49e-06, 'liveness': 0.109, 'valence': 0.62, 'tempo': 78.558, 'type': 'audio_features', 'id': '7KA4W4McWYRpgf0fWsJZWB', 'uri': 'spotify:track:7KA4W4McWYRpgf0fWsJZWB', 'track_href': 'https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB', 'duration_ms': 180387, 'time_signature': 4}]"
Pompeii,3gbBpTdY8lnQwqxNCcf795,Bastille,"[{'danceability': 0.679, 'energy': 0.715, 'key': 9, 'loudness': -6.383, 'mode': 1, 'speechiness': 0.0407, 'acousticness': 0.0755, 'instrumentalness': 0, 'liveness': 0.271, 'valence': 0.571, 'tempo': 127.435, 'type': 'audio_features', 'id': '3gbBpTdY8lnQwqxNCcf795', 'uri': 'spotify:track:3gbBpTdY8lnQwqxNCcf795', 'track_href': 'https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795', 'duration_ms': 214148, 'time_signature': 4}]"
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,"[{'danceability': 0.778, 'energy': 0.824, 'key': 10, 'loudness': -5.892, 'mode': 0, 'speechiness': 0.0707, 'acousticness': 0.284, 'instrumentalness': 0, 'liveness': 0.405, 'valence': 0.758, 'tempo': 100.024, 'type': 'audio_features', 'id': '3ZFTkvIE7kyPt6Nu3PEa7V', 'uri': 'spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V', 'track_href': 'https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3ZFTkvIE7kyPt6Nu3PEa7V', 'duration_ms': 218093, 'time_signature': 4}]"
Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,The Script,"[{'danceability': 0.421, 'energy': 0.873, 'key': 10, 'loudness': -4.343, 'mode': 1, 'speechiness': 0.0564, 'acousticness': 0.0654, 'instrumentalness': 0, 'liveness': 0.123, 'valence': 0.629, 'tempo': 84.786, 'type': 'audio_features', 'id': '7wMq5n8mYSKlQIGECKUgTX', 'uri': 'spotify:track:7wMq5n8mYSKlQIGECKUgTX', 'track_href': 'https://api.spotify.com/v1/tracks/7wMq5n8mYSKlQIGECKUgTX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7wMq5n8mYSKlQIGECKUgTX', 'duration_ms': 202533, 'time_signature': 4}]"
Back Where I Belong (feat. Avicii),78W8wiUIlQ2SnWY9TVowKZ,Otto Knows,"[{'danceability': 0.497, 'energy': 0.865, 'key': 0, 'loudness': -3.19, 'mode': 1, 'speechiness': 0.0644, 'acousticness': 0.0306, 'instrumentalness': 0.0679, 'liveness': 0.443, 'valence': 0.595, 'tempo': 125.96, 'type': 'audio_features', 'id': '78W8wiUIlQ2SnWY9TVowKZ', 'uri': 'spotify:track:78W8wiUIlQ2SnWY9TVowKZ', 'track_href': 'https://api.spotify.com/v1/tracks/78W8wiUIlQ2SnWY9TVowKZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/78W8wiUIlQ2SnWY9TVowKZ', 'duration_ms': 174203, 'time_signature': 4}]"
The Heart Wants What It Wants,2jcPoPin36hyNRSi4ZsqeB,Selena Gomez,"[{'danceability': 0.616, 'energy': 0.789, 'key': 7, 'loudness': -4.874, 'mode': 0, 'speechiness': 0.0377, 'acousticness': 0.053, 'instrumentalness': 0, 'liveness': 0.142, 'valence': 0.621, 'tempo': 83.066, 'type': 'audio_features', 'id': '2jcPoPin36hyNRSi4ZsqeB', 'uri': 'spotify:track:2jcPoPin36hyNRSi4ZsqeB', 'track_href': 'https://api.spotify.com/v1/tracks/2jcPoPin36hyNRSi4ZsqeB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2jcPoPin36hyNRSi4ZsqeB', 'duration_ms': 227373, 'time_signature': 4}]"
Dynamite,2CEgGE6aESpnmtfiZwYlbV,Taio Cruz,"[{'danceability': 0.751, 'energy': 0.783, 'key': 4, 'loudness': -3.724, 'mode': 1, 'speechiness': 0.0859, 'acousticness': 0.00379, 'instrumentalness': 0, 'liveness': 0.036, 'valence': 0.816, 'tempo': 119.975, 'type': 'audio_features', 'id': '2CEgGE6aESpnmtfiZwYlbV', 'uri': 'spotify:track:2CEgGE6aESpnmtfiZwYlbV', 'track_href': 'https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV', 'duration_ms': 202613, 'time_signature': 4}]"
Bumpy Ride,0tBRo4P60DgKmg4jt48upm,Mohombi,"[{'danceability': 0.709, 'energy': 0.854, 'key': 0, 'loudness': -4.447, 'mode': 0, 'speechiness': 0.0399, 'acousticness': 0.047, 'instrumentalness': 0, 'liveness': 0.0724, 'valence': 0.826, 'tempo': 105.074, 'type': 'audio_features', 'id': '0tBRo4P60DgKmg4jt48upm', 'uri': 'spotify:track:0tBRo4P60DgKmg4jt48upm', 'track_href': 'https://api.spotify.com/v1/tracks/0tBRo4P60DgKmg4jt48upm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0tBRo4P60DgKmg4jt48upm', 'duration_ms': 224402, 'time_signature': 4}]"
Danza Kuduro (feat. Don Omar),1kAZhbcsXqfUjnVeqPywn2,Lucenzo,"[{'danceability': 0.706, 'energy': 0.89, 'key': 0, 'loudness': -6.575, 'mode': 1, 'speechiness': 0.0847, 'acousticness': 0.0855, 'instrumentalness': 0, 'liveness': 0.0465, 'valence': 0.896, 'tempo': 130.051, 'type': 'audio_features', 'id': '1kAZhbcsXqfUjnVeqPywn2', 'uri': 'spotify:track:1kAZhbcsXqfUjnVeqPywn2', 'track_href': 'https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1kAZhbcsXqfUjnVeqPywn2', 'duration_ms': 202347, 'time_signature': 4}]"
Syypää sun hymyyn (feat. Yasmine Yamajako),2N2QvMYwyYHE8V4KZbbG4i,Cheek,"[{'danceability': 0.472, 'energy': 0.815, 'key': 9, 'loudness': -4.002, 'mode': 0, 'speechiness': 0.319, 'acousticness': 0.171, 'instrumentalness': 0, 'liveness': 0.265, 'valence': 0.81, 'tempo': 98.017, 'type': 'audio_features', 'id': '2N2QvMYwyYHE8V4KZbbG4i', 'uri': 'spotify:track:2N2QvMYwyYHE8V4KZbbG4i', 'track_href': 'https://api.spotify.com/v1/tracks/2N2QvMYwyYHE8V4KZbbG4i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2N2QvMYwyYHE8V4KZbbG4i', 'duration_ms': 230413, 'time_signature': 4}]"
Whistle,0ltBH1JNzSvQJPjJpvTu9B,Flo Rida,"[{'danceability': 0.754, 'energy': 0.933, 'key': 0, 'loudness': -5.786, 'mode': 1, 'speechiness': 0.0448, 'acousticness': 0.0199, 'instrumentalness': 0, 'liveness': 0.297, 'valence': 0.75, 'tempo': 103.992, 'type': 'audio_features', 'id': '0ltBH1JNzSvQJPjJpvTu9B', 'uri': 'spotify:track:0ltBH1JNzSvQJPjJpvTu9B', 'track_href': 'https://api.spotify.com/v1/tracks/0ltBH1JNzSvQJPjJpvTu9B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ltBH1JNzSvQJPjJpvTu9B', 'duration_ms': 225000, 'time_signature': 4}]"
